,T,spd,pwr,g_1,g_2,g_3
169,348,1.6,8.0,4.7101,9900000000.0,9900000000.0
170,350,1.6,8.2,4.6847,9900000000.0,9900000000.0
171,352,1.6,7.0,4.6583,9900000000.0,9900000000.0
172,354,1.6,6.1,4.6378,9900000000.0,9900000000.0
173,357,1.6,7.3,4.6154,9900000000.0,9900000000.0
174,359,1.6,6.1,4.6154,9900000000.0,9900000000.0
175,361,1.6,6.3,4.6154,9900000000.0,9900000000.0
176,363,1.6,7.0,4.5861,9900000000.0,9900000000.0
177,365,1.6,6.5,4.5861,9900000000.0,9900000000.0
178,367,1.6,7.0,4.5636,9900000000.0,9900000000.0
179,369,1.6,7.5,4.5636,9900000000.0,9900000000.0
180,371,1.6,7.0,4.5402,9900000000.0,9900000000.0
181,373,1.6,6.3,4.5138,9900000000.0,9900000000.0
182,375,1.6,6.1,4.4943,9900000000.0,9900000000.0
183,377,1.6,6.5,4.4679,9900000000.0,9900000000.0
184,379,1.6,6.1,4.4386,9900000000.0,9900000000.0
185,381,1.6,8.4,4.4386,9900000000.0,9900000000.0
186,383,1.6,8.7,4.4161,9900000000.0,9900000000.0
187,385,1.6,6.5,4.3898,9900000000.0,9900000000.0
188,387,1.6,6.1,4.3898,9900000000.0,9900000000.0
189,389,1.6,8.0,4.3663,9900000000.0,9900000000.0
190,391,1.6,6.8,4.34,9900000000.0,9900000000.0
191,394,1.6,7.5,4.34,9900000000.0,9900000000.0
192,396,1.6,6.5,4.3468,9900000000.0,9900000000.0
193,398,1.6,8.0,4.3468,9900000000.0,9900000000.0
194,400,1.6,7.3,4.3204,9900000000.0,9900000000.0
195,402,1.6,8.7,4.297,9900000000.0,9900000000.0
196,404,1.6,6.1,4.297,9900000000.0,9900000000.0
197,406,1.6,7.0,4.2716,9900000000.0,9900000000.0
198,408,1.6,7.0,4.2452,9900000000.0,9900000000.0
199,410,1.6,6.8,4.2189,9900000000.0,9900000000.0
200,412,1.6,7.0,4.2257,9900000000.0,9900000000.0
201,414,1.6,6.1,4.1993,9900000000.0,9900000000.0
202,416,1.6,8.2,4.173,9900000000.0,9900000000.0
203,418,1.6,6.1,4.173,9900000000.0,9900000000.0
204,420,1.6,6.1,4.1466,9900000000.0,9900000000.0
205,422,1.6,6.1,4.13,9900000000.0,9900000000.0
206,424,1.6,7.3,4.1212,9900000000.0,9900000000.0
207,426,1.6,6.1,4.0978,9900000000.0,9900000000.0
208,429,1.6,6.1,4.0978,9900000000.0,9900000000.0
209,431,1.6,8.0,4.0978,9900000000.0,9900000000.0
210,433,1.6,6.1,4.0978,9900000000.0,9900000000.0
211,435,1.6,5.4,4.0714,9900000000.0,9900000000.0
212,437,1.6,6.1,4.0519,9900000000.0,9900000000.0
213,439,1.6,6.1,4.0255,9900000000.0,9900000000.0
214,441,1.6,7.7,4.0255,9900000000.0,9900000000.0
215,443,1.6,8.2,3.9991,9900000000.0,9900000000.0
216,445,1.6,6.8,3.9796,9900000000.0,9900000000.0
217,447,1.6,8.4,3.9796,9900000000.0,9900000000.0
218,449,1.6,8.7,3.9532,9900000000.0,9900000000.0
219,451,1.6,6.8,3.9532,9900000000.0,9900000000.0
220,453,1.6,6.5,3.9308,9900000000.0,9900000000.0
221,455,1.6,6.5,3.9308,9900000000.0,9900000000.0
222,457,1.6,6.1,3.9044,9900000000.0,9900000000.0
223,459,1.6,6.3,3.9044,9900000000.0,9900000000.0
224,462,1.6,8.7,3.9044,9900000000.0,9900000000.0
225,464,1.6,8.4,3.9044,9900000000.0,9900000000.0
226,466,1.6,7.3,3.881,9900000000.0,9900000000.0
227,468,1.6,7.0,3.8556,9900000000.0,9900000000.0
228,470,1.6,6.1,3.8556,9900000000.0,9900000000.0
229,472,1.6,7.5,3.8351,9900000000.0,9900000000.0
230,474,1.6,7.5,3.8351,9900000000.0,9900000000.0
231,476,1.6,7.5,3.8058,9900000000.0,9900000000.0
232,478,1.6,8.4,3.7804,9900000000.0,9900000000.0
233,480,1.6,6.1,3.7804,9900000000.0,9900000000.0
234,482,1.6,6.1,3.754,9900000000.0,9900000000.0
235,484,1.6,7.3,3.754,9900000000.0,9900000000.0
236,486,1.6,7.0,3.7345,9900000000.0,9900000000.0
237,488,1.6,8.0,3.7277,9900000000.0,9900000000.0
238,490,1.6,6.1,3.7111,9900000000.0,9900000000.0
239,492,1.6,7.3,3.7042,9900000000.0,9900000000.0
240,494,1.6,6.5,3.7042,9900000000.0,9900000000.0
241,496,1.6,8.0,3.7042,9900000000.0,9900000000.0
242,499,1.6,8.0,3.7042,9900000000.0,9900000000.0
243,501,1.6,7.5,3.7042,9900000000.0,9900000000.0
244,503,1.6,7.5,3.6818,9900000000.0,9900000000.0
245,505,1.6,7.3,3.6818,9900000000.0,9900000000.0
246,507,1.6,8.4,3.6554,9900000000.0,9900000000.0
247,509,1.6,7.5,3.6329,9900000000.0,9900000000.0
248,511,1.6,6.8,3.6329,9900000000.0,9900000000.0
249,513,1.6,8.4,3.6329,9900000000.0,9900000000.0
250,515,1.6,6.8,3.6118,9900000000.0,9900000000.0
251,517,1.6,8.0,3.6118,9900000000.0,9900000000.0
252,519,1.6,6.1,3.5973,9900000000.0,9900000000.0
253,521,1.6,6.5,3.5973,9900000000.0,9900000000.0
254,523,1.6,8.0,3.5755,9900000000.0,9900000000.0
255,525,1.6,7.5,3.5806,9900000000.0,9900000000.0
256,527,1.6,7.0,3.5588,9900000000.0,9900000000.0
257,529,1.6,6.1,3.5588,9900000000.0,9900000000.0
258,531,1.6,8.2,3.5588,9900000000.0,9900000000.0
259,534,1.6,6.1,3.5588,9900000000.0,9900000000.0
260,536,1.6,5.6,3.5414,9900000000.0,9900000000.0
261,538,1.6,7.5,3.5414,9900000000.0,9900000000.0
262,540,1.6,6.1,3.5414,9900000000.0,9900000000.0
263,542,1.6,8.2,3.5414,9900000000.0,9900000000.0
264,544,1.6,5.4,3.5414,9900000000.0,9900000000.0
265,546,1.6,6.8,3.5225,9900000000.0,9900000000.0
266,548,1.6,8.4,3.5225,9900000000.0,9900000000.0
267,550,1.6,6.1,3.5029,9900000000.0,9900000000.0
268,552,1.6,6.1,3.4978,9900000000.0,9900000000.0
269,554,1.6,6.5,3.4854,9900000000.0,9900000000.0
270,556,1.6,6.5,3.4854,9900000000.0,9900000000.0
271,558,1.6,6.1,3.468,9900000000.0,9900000000.0
272,560,1.6,6.5,3.468,9900000000.0,9900000000.0
273,562,1.6,8.2,3.468,9900000000.0,9900000000.0
274,564,1.6,8.2,3.468,9900000000.0,9900000000.0
275,567,1.6,5.4,3.4491,9900000000.0,9900000000.0
276,569,1.6,8.0,3.4491,9900000000.0,9900000000.0
277,571,1.6,6.1,3.4338,9900000000.0,9900000000.0
278,573,1.6,8.0,3.4338,9900000000.0,9900000000.0
279,575,1.6,6.8,3.4338,9900000000.0,9900000000.0
280,577,1.6,8.0,3.4099,9900000000.0,9900000000.0
281,579,1.6,6.5,3.4149,9900000000.0,9900000000.0
282,581,1.6,8.0,3.4149,9900000000.0,9900000000.0
283,583,1.6,7.0,3.4149,9900000000.0,9900000000.0
284,585,1.6,7.0,3.4149,9900000000.0,9900000000.0
285,587,1.6,6.1,3.4149,9900000000.0,9900000000.0
286,589,1.6,7.0,3.3953,9900000000.0,9900000000.0
287,591,1.6,8.2,3.3953,9900000000.0,9900000000.0
288,593,1.6,8.0,3.3808,9900000000.0,9900000000.0
289,595,1.6,7.5,3.3808,9900000000.0,9900000000.0
290,597,1.6,7.0,3.359,9900000000.0,9900000000.0
291,599,1.6,7.3,3.359,9900000000.0,9900000000.0
292,602,1.6,8.0,3.359,9900000000.0,9900000000.0
293,604,1.6,6.1,3.3416,9900000000.0,9900000000.0
294,606,1.6,7.5,3.3416,9900000000.0,9900000000.0
295,608,1.6,7.5,3.3416,9900000000.0,9900000000.0
296,610,1.6,5.4,3.3416,9900000000.0,9900000000.0
297,612,1.6,8.2,3.3219,9900000000.0,9900000000.0
298,614,1.6,8.2,3.3219,9900000000.0,9900000000.0
299,616,1.6,8.0,3.3219,9900000000.0,9900000000.0
300,618,1.6,8.4,3.303,9900000000.0,9900000000.0
301,620,1.6,8.0,3.303,9900000000.0,9900000000.0
302,622,1.6,6.1,3.303,9900000000.0,9900000000.0
303,624,1.6,8.7,3.2856,9900000000.0,9900000000.0
304,626,1.6,7.0,3.3052,9900000000.0,9900000000.0
305,628,1.6,7.5,3.3052,9900000000.0,9900000000.0
306,630,1.6,7.0,3.3052,9900000000.0,9900000000.0
307,632,1.6,8.7,3.2878,9900000000.0,9900000000.0
308,634,1.6,8.0,3.2878,9900000000.0,9900000000.0
309,637,1.6,5.4,3.266,9900000000.0,9900000000.0
310,639,1.6,7.5,3.2711,9900000000.0,9900000000.0
311,641,1.6,6.1,3.2493,9900000000.0,9900000000.0
312,643,1.6,6.8,3.2493,9900000000.0,9900000000.0
313,645,1.6,8.0,3.2493,9900000000.0,9900000000.0
314,647,1.6,6.1,3.2493,9900000000.0,9900000000.0
315,649,1.6,8.0,3.234,9900000000.0,9900000000.0
316,651,1.6,7.5,3.234,9900000000.0,9900000000.0
317,653,1.6,6.1,3.234,9900000000.0,9900000000.0
318,655,1.6,7.3,3.2144,9900000000.0,9900000000.0
319,657,1.6,6.5,3.2144,9900000000.0,9900000000.0
320,659,1.6,8.0,3.2144,9900000000.0,9900000000.0
321,661,1.6,7.0,3.2144,9900000000.0,9900000000.0
322,663,1.6,8.4,3.1977,9900000000.0,9900000000.0
323,665,1.6,5.4,3.1977,9900000000.0,9900000000.0
324,667,1.6,6.1,3.1977,9900000000.0,9900000000.0
325,669,1.6,5.4,3.1977,9900000000.0,9900000000.0
326,672,1.6,8.2,3.1977,9900000000.0,9900000000.0
327,674,1.6,8.2,3.1977,9900000000.0,9900000000.0
328,676,1.6,7.3,3.1759,9900000000.0,9900000000.0
329,678,1.6,8.0,3.1759,9900000000.0,9900000000.0
330,680,1.6,6.1,3.1933,9900000000.0,9900000000.0
331,682,1.6,6.5,3.1933,9900000000.0,9900000000.0
332,684,1.6,7.0,3.1759,9900000000.0,9900000000.0
333,686,1.6,8.0,3.1759,9900000000.0,9900000000.0
334,688,1.6,6.8,3.1585,9900000000.0,9900000000.0
335,690,1.6,6.5,3.1585,9900000000.0,9900000000.0
336,692,1.6,6.1,3.1396,9900000000.0,9900000000.0
337,694,1.6,7.3,3.1396,9900000000.0,9900000000.0
